ユースケースID,ユースケース機能ID,カテゴリ,ユースケース,本レポジトリシステムでの実現状況
UC-2701,UC-GL-874,ソフトウェア開発および管理,自動マージ,❌
UC-2702,UC-GL-634,ソフトウェア開発および管理,コンテナ管理,❌
UC-2703,UC-GL-871,ソフトウェア開発および管理,パッケージ管理,❌
UC-2704,UC-GL-875,ソフトウェア開発および管理,課題API,❌
UC-2705,UC-GL-872,ソフトウェア開発および管理,マージレビュー,❌
UC-2706,UC-GL-873,ソフトウェア開発および管理,リリースAPI,❌
UC-2707,UC-GLR-01,ソフトウェア開発および管理,GitLab Runner運用,❌
UC-2708,UC-GL-527,ソフトウェア開発および管理,CI/CD基盤,❌
UC-2709,UC-GL-635,ソフトウェア開発および管理,ソフトウェア開発管理のAPIライフサイクル管理,❌
UC-2710,UC-GL-636,ソフトウェア開発および管理,ソフトウェア開発管理のAPI設計管理,❌
UC-2711,UC-GL-637,ソフトウェア開発および管理,ソフトウェア開発管理のCIパイプライン設計,❌
UC-2712,UC-GL-638,ソフトウェア開発および管理,ソフトウェア開発管理のCI設計の標準化,❌
UC-2713,UC-GL-639,ソフトウェア開発および管理,ソフトウェア開発管理のDORA指標の追跡,❌
UC-2714,UC-GL-640,ソフトウェア開発および管理,ソフトウェア開発管理のDORA指標管理,❌
UC-2715,UC-GL-641,ソフトウェア開発および管理,ソフトウェア開発管理のIDE/ツール統一,❌
UC-2716,UC-GL-642,ソフトウェア開発および管理,ソフトウェア開発管理のOSS利用の審査,❌
UC-2717,UC-GL-643,ソフトウェア開発および管理,ソフトウェア開発管理のOSS利用管理,❌
UC-2718,UC-GL-644,ソフトウェア開発および管理,ソフトウェア開発管理のSLA要件反映,❌
UC-2719,UC-GL-645,ソフトウェア開発および管理,ソフトウェア開発管理のアーキテクチャ整合性の確認,❌
UC-2720,UC-GL-646,ソフトウェア開発および管理,ソフトウェア開発管理のアーティファクト管理,❌
UC-2721,UC-GL-647,ソフトウェア開発および管理,ソフトウェア開発管理のインシデント学習の反映,❌
UC-2722,UC-GL-648,ソフトウェア開発および管理,ソフトウェア開発管理のコードレビュー運用,❌
UC-2723,UC-GL-649,ソフトウェア開発および管理,ソフトウェア開発管理のコード品質監視,❌
UC-2724,UC-GL-650,ソフトウェア開発および管理,ソフトウェア開発管理のコード所有者の管理,❌
UC-2725,UC-GL-651,ソフトウェア開発および管理,ソフトウェア開発管理のコード所有者管理,❌
UC-2726,UC-GL-652,ソフトウェア開発および管理,ソフトウェア開発管理のコード規約の適用,❌
UC-2727,UC-GL-653,ソフトウェア開発および管理,ソフトウェア開発管理のコード規約の遵守,❌
UC-2728,UC-GL-654,ソフトウェア開発および管理,ソフトウェア開発管理のサポート終了管理,❌
UC-2729,UC-GL-655,ソフトウェア開発および管理,ソフトウェア開発管理のセキュリティ要件の実装,❌
UC-2730,UC-GL-656,ソフトウェア開発および管理,ソフトウェア開発管理のセキュリティ要件反映,❌
UC-2731,UC-GL-657,ソフトウェア開発および管理,ソフトウェア開発管理のツールチェーンの標準化,❌
UC-2732,UC-GL-658,ソフトウェア開発および管理,ソフトウェア開発管理のテストカバレッジ向上,❌
UC-2733,UC-GL-659,ソフトウェア開発および管理,ソフトウェア開発管理のテストカバレッジ管理,❌
