ユースケースID,ユースケース機能ID,カテゴリ,ユースケース,本レポジトリシステムでの実現状況
UC-0001,UC-GL-270,IT資産管理,IT資産管理のSLA/目標管理,🔺
UC-0002,UC-GL-271,IT資産管理,IT資産管理のエスカレーション/連携,🔺
UC-0003,UC-GL-272,IT資産管理,IT資産管理のデータ品質の維持,🔺
UC-0004,UC-GL-273,IT資産管理,IT資産管理のナレッジの更新,🔺
UC-0005,UC-GL-274,IT資産管理,IT資産管理のレポート/振り返り,🔺
UC-0006,UC-GL-275,IT資産管理,IT資産管理のレポートの標準化,🔺
UC-0007,UC-GL-276,IT資産管理,IT資産管理の依存関係の整理,🔺
UC-0008,UC-GL-277,IT資産管理,IT資産管理の分類/優先度付け,🔺
UC-0009,UC-GL-278,IT資産管理,IT資産管理の受付/登録,🔺
UC-0010,UC-GL-279,IT資産管理,IT資産管理の品質保証/監査,🔺
UC-0011,UC-GL-280,IT資産管理,IT資産管理の実行/処理,🔺
UC-0012,UC-GL-281,IT資産管理,IT資産管理の承認/レビュー,🔺
UC-0013,UC-GL-282,IT資産管理,IT資産管理の改善施策の実施,🔺
UC-0014,UC-GL-283,IT資産管理,IT資産管理の方針/標準定義,🔺
UC-0015,UC-GL-284,IT資産管理,IT資産管理の標準テンプレートの整備,🔺
UC-0016,UC-GL-285,IT資産管理,IT資産管理の継続的改善,🔺
UC-0017,UC-GL-286,IT資産管理,IT資産管理の自動化/効率化,🔺
UC-0018,UC-GL-287,IT資産管理,IT資産管理の調査/分析,🔺
UC-0019,UC-GL-288,IT資産管理,IT資産管理の通知/コミュニケーション,🔺
UC-0020,UC-GL-289,IT資産管理,IT資産管理の運用手順の整備,🔺
UC-0021,UC-GL-290,IT資産管理,IT資産管理の関係者合意の形成,🔺
UC-0101,UC-GL-001,アーキテクチャ管理,アーキテクチャ管理のKPI/指標定義,🔺
UC-0102,UC-GL-002,アーキテクチャ管理,アーキテクチャ管理のガバナンスと方針運用の整備,🔺
UC-0103,UC-GL-003,アーキテクチャ管理,アーキテクチャ管理のステークホルダー/関係者調整,🔺
UC-0104,UC-GL-004,アーキテクチャ管理,アーキテクチャ管理のツール/データ整備,🔺
UC-0105,UC-GL-005,アーキテクチャ管理,アーキテクチャ管理のリスク/例外レビュー,🔺
UC-0106,UC-GL-006,アーキテクチャ管理,アーキテクチャ管理のリスクと例外の管理,🔺
UC-0107,UC-GL-007,アーキテクチャ管理,アーキテクチャ管理のレビュー/監査の実施,🔺
UC-0108,UC-GL-008,アーキテクチャ管理,アーキテクチャ管理のロードマップ策定,🔺
UC-0109,UC-GL-009,アーキテクチャ管理,アーキテクチャ管理の主要関係者の合意形成,🔺
UC-0110,UC-GL-010,アーキテクチャ管理,アーキテクチャ管理の変更影響の分析,🔺
UC-0111,UC-GL-011,アーキテクチャ管理,アーキテクチャ管理の定期レビュー/報告,🔺
UC-0112,UC-GL-012,アーキテクチャ管理,アーキテクチャ管理の実行計画の策定,🔺
UC-0113,UC-GL-013,アーキテクチャ管理,アーキテクチャ管理の役割/責任（RACI）定義,🔺
UC-0114,UC-GL-014,アーキテクチャ管理,アーキテクチャ管理の意思決定基準の明文化,🔺
UC-0115,UC-GL-015,アーキテクチャ管理,アーキテクチャ管理の成果物の記録/版管理,🔺
UC-0116,UC-GL-016,アーキテクチャ管理,アーキテクチャ管理の指標の定義と可視化,🔺
UC-0117,UC-GL-017,アーキテクチャ管理,アーキテクチャ管理の改善施策の優先順位付け,🔺
UC-0118,UC-GL-018,アーキテクチャ管理,アーキテクチャ管理の教育/オンボーディング,🔺
UC-0119,UC-GL-019,アーキテクチャ管理,アーキテクチャ管理の教育/展開/浸透,🔺
UC-0120,UC-GL-020,アーキテクチャ管理,アーキテクチャ管理の方針/ポリシー策定,🔺
UC-0121,UC-GL-021,アーキテクチャ管理,アーキテクチャ管理の標準/ガイドライン整備,🔺
UC-0122,UC-GL-022,アーキテクチャ管理,アーキテクチャ管理の現状評価/ギャップ分析,🔺
UC-0123,UC-GL-023,アーキテクチャ管理,アーキテクチャ管理の目標/ターゲット設定,🔺
UC-0124,UC-GL-024,アーキテクチャ管理,アーキテクチャ管理の運用手順と標準の整備,🔺
UC-0224,UC-AIOPS-OFF-001,インシデント管理,チャットからの緊急インシデント（Service Down）をトリアージし、候補/不足情報/次アクションを提示する,🔺
UC-0225,UC-AIOPS-OFF-002,インシデント管理,変更依頼は承認が必要なフローへ誘導する（安易に自動実行しない）,🔺
UC-0226,UC-AIOPS-OFF-003,インシデント管理,曖昧な依頼は推測で埋めずに確認質問へ誘導する,🔺
UC-0227,UC-AIOPS-OFF-004,インシデント管理,監視アラート（CloudWatch 等）を受け、必要に応じて自動反応/確認/承認へ分岐する,🔺
UC-0228,UC-AIOPS-OFF-005,インシデント管理,ルーティング/エスカレーション候補を選定し、適切な対応案（ログ収集等）へ誘導する,🔺
UC-0229,UC-AIOPS-OFF-006,インシデント管理,既知エラー/ナレッジ検索（RAG）へ誘導し、調査を支援する,🔺
UC-0230,UC-AIOPS-OFF-007,インシデント管理,フィードバック入力は運用アクションとして誤解釈せず、安全側（確認/拒否）で扱う,🔺
UC-0231,UC-AIOPS-OFF-008,インシデント管理,意味不明/未知語の入力はフォールバック（確認/拒否）し、暴走を抑止する,🔺
UC-0232,UC-AIOPS-OFF-009,インシデント管理,プロンプトインジェクション等の攻撃入力を拒否または安全側に処理する,🔺
UC-0233,UC-AIOPS-OFF-010,インシデント管理,PII/秘密情報の混入を想定し、出力（理由等）に秘匿情報を残さない,🔺
UC-0234,UC-AIOPS-OFF-011,インシデント管理,GitLab Wiki 等のナレッジ検索を想定し、RAG 参照の意思決定（preview facts）を行う,🔺
UC-0235,UC-AIOPS-OFF-012,インシデント管理,RAG から得た候補（candidate）をプレビューに反映し、次アクションの根拠を整える,🔺
UC-0236,UC-AIOPS-OFF-013,インシデント管理,解決済みの対応内容をナレッジ化（再利用可能なFAQ/手順/注意点）し、GitLab の docs/ 等へ記録できるように誘導する（ITIL4 テンプレ: `14_knowledge_management`）,🔺
UC-0237,UC-AIOPS-OFF-015,インシデント管理,AIOpsAgent が `auto_enqueue`（自動承認/自動実行）した場合も **Zulip 上の決定**として扱い（`/decision`）、GitLab へ証跡化し、DB（`aiops_approval_history`）に記録して `/decisions` で参照できる,🔺
UC-0238,UC-AIOPS-OFF-016,インシデント管理,ユーザー要望（例: 「○○ができるようになって」）を受領して回答し、GitLab の一般管理プロジェクトの CIR（継続的改善レジスター）＝GitLab Issue に改善機会として `New` で集約する（重複がないように登録）。運用者が `Approved` にした時に、要望を行ったユーザーに対して、チャット上で「以前のご要望（要約）は承認されたので、これから改善します。」旨のメッセージを送信する。,🔺
UC-0239,UC-AIOPS-OFF-014,インシデント管理,承認リンク（クリック）による approve/deny を **Zulip 上の決定**として扱い、証跡（承認履歴）を保存し、Zulip から `/decisions` で時系列サマリを参照できる,🔺
UC-0401,UC-EXA-25,インフラストラクチャおよびプラットフォーム管理,ドリフト検出,🔺
UC-0402,UC-EXA-07,インフラストラクチャおよびプラットフォーム管理,インフラ/プラットフォーム管理の構成ドリフトの監視,🔺
UC-0403,UC-EXA-05,インフラストラクチャおよびプラットフォーム管理,インフラ/プラットフォーム管理のIaCの標準テンプレ管理,🔺
UC-0404,UC-EXA-06,インフラストラクチャおよびプラットフォーム管理,インフラ/プラットフォーム管理の基盤構成の標準化,🔺
UC-0405,UC-EXA-08,インフラストラクチャおよびプラットフォーム管理,インフラ/プラットフォーム管理の構成ドリフト検知,🔺
UC-0406,UC-EXA-09,インフラストラクチャおよびプラットフォーム管理,インフラ/プラットフォーム管理の構成リポジトリの保守,🔺
UC-0407,UC-EXA-10,インフラストラクチャおよびプラットフォーム管理,インフラ/プラットフォーム管理の構成リポジトリ管理,🔺
UC-0408,UC-EXA-11,インフラストラクチャおよびプラットフォーム管理,インフラ/プラットフォーム管理の構成変更の承認,🔺
UC-0409,UC-EXA-12,インフラストラクチャおよびプラットフォーム管理,インフラ/プラットフォーム管理の構成変更の承認運用,🔺
UC-0410,UC-EXA-13,インフラストラクチャおよびプラットフォーム管理,インフラ/プラットフォーム管理の構成管理の統制,🔺
UC-0411,UC-EXA-14,インフラストラクチャおよびプラットフォーム管理,インフラ/プラットフォーム管理の標準テンプレート管理,🔺
UC-0412,UC-EXA-15,インフラストラクチャおよびプラットフォーム管理,インフラ/プラットフォーム管理の標準構成審査,🔺
UC-0413,UC-EXA-16,インフラストラクチャおよびプラットフォーム管理,インフラ/プラットフォーム管理の運用自動化,🔺
UC-0414,UC-EXA-17,インフラストラクチャおよびプラットフォーム管理,インフラ/プラットフォーム管理の運用自動化の導入,🔺
UC-0415,UC-GL-539,インフラストラクチャおよびプラットフォーム管理,インフラ/プラットフォーム管理のアラート運用,🔺
UC-0416,UC-GL-543,インフラストラクチャおよびプラットフォーム管理,インフラ/プラットフォーム管理のオペレーション監視,🔺
UC-0417,UC-GL-575,インフラストラクチャおよびプラットフォーム管理,インフラ/プラットフォーム管理のパッチ適用状況の可視化,🔺
UC-0418,UC-GL-577,インフラストラクチャおよびプラットフォーム管理,インフラ/プラットフォーム管理のプラットフォームSLA管理,🔺
UC-0419,UC-GL-586,インフラストラクチャおよびプラットフォーム管理,インフラ/プラットフォーム管理のメトリクス収集の統一,🔺
UC-0420,UC-GL-595,インフラストラクチャおよびプラットフォーム管理,インフラ/プラットフォーム管理の依存基盤のSLA確認,🔺
UC-0421,UC-GL-601,インフラストラクチャおよびプラットフォーム管理,インフラ/プラットフォーム管理の容量予測,🔺
UC-0422,UC-GL-602,インフラストラクチャおよびプラットフォーム管理,インフラ/プラットフォーム管理の容量予測の更新,🔺
UC-0423,UC-GL-605,インフラストラクチャおよびプラットフォーム管理,インフラ/プラットフォーム管理の復旧時間の測定,🔺
UC-0424,UC-GL-607,インフラストラクチャおよびプラットフォーム管理,インフラ/プラットフォーム管理の性能監視,🔺
UC-0425,UC-GL-619,インフラストラクチャおよびプラットフォーム管理,インフラ/プラットフォーム管理の監視/ログ設計,🔺
UC-0426,UC-GL-620,インフラストラクチャおよびプラットフォーム管理,インフラ/プラットフォーム管理の監視アラートのチューニング,🔺
UC-0427,UC-GL-621,インフラストラクチャおよびプラットフォーム管理,インフラ/プラットフォーム管理の監視指標の標準化,🔺
UC-0428,UC-GL-624,インフラストラクチャおよびプラットフォーム管理,インフラ/プラットフォーム管理の証明書期限監視,🔺
UC-0429,UC-GL-628,インフラストラクチャおよびプラットフォーム管理,インフラ/プラットフォーム管理の運用KPIの定義,🔺
UC-0430,UC-GL-629,インフラストラクチャおよびプラットフォーム管理,インフラ/プラットフォーム管理の運用KPI設計,🔺
UC-0431,UC-GL-630,インフラストラクチャおよびプラットフォーム管理,インフラ/プラットフォーム管理の運用SLOの策定,🔺
UC-0432,UC-GL-528,インフラストラクチャおよびプラットフォーム管理,インフラ/プラットフォーム管理のBCPの見直し,🔺
UC-0433,UC-GL-529,インフラストラクチャおよびプラットフォーム管理,インフラ/プラットフォーム管理のBCP対応,🔺
UC-0434,UC-GL-530,インフラストラクチャおよびプラットフォーム管理,インフラ/プラットフォーム管理のDNS/証明書更新管理,🔺
UC-0435,UC-GL-531,インフラストラクチャおよびプラットフォーム管理,インフラ/プラットフォーム管理のDNS/証明書管理,🔺
UC-0436,UC-GL-532,インフラストラクチャおよびプラットフォーム管理,インフラ/プラットフォーム管理のDR計画策定,🔺
UC-0437,UC-GL-533,インフラストラクチャおよびプラットフォーム管理,インフラ/プラットフォーム管理のDR訓練の計画,🔺
UC-0438,UC-GL-534,インフラストラクチャおよびプラットフォーム管理,インフラ/プラットフォーム管理のID連携/認証基盤連携,🔺
UC-0439,UC-GL-535,インフラストラクチャおよびプラットフォーム管理,インフラ/プラットフォーム管理のKubernetes運用,🔺
UC-0440,UC-GL-536,インフラストラクチャおよびプラットフォーム管理,インフラ/プラットフォーム管理のOS標準化/管理,🔺
UC-0441,UC-GL-537,インフラストラクチャおよびプラットフォーム管理,インフラ/プラットフォーム管理のアクセス制御設計,🔺
UC-0442,UC-GL-538,インフラストラクチャおよびプラットフォーム管理,インフラ/プラットフォーム管理のアクセス境界の設計,🔺
UC-0443,UC-GL-540,インフラストラクチャおよびプラットフォーム管理,インフラ/プラットフォーム管理のイメージ管理,🔺
