ユースケースID,ユースケース機能ID,ユースケース,カテゴリ,アプリ(実データ列),判定理由,再分類,再分類理由
UC-0201,UC-GL-291,インシデント管理のSLA/目標管理,インシデント管理,GitLab; Zulip; n8n; Grafana; cloudwatch_event_notify; aiops_agent,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/12_incident_management.md.tpl; apps/itsm_core/cloudwatch_event_notify/workflows/cloudwatch_event_notify.json; apps/aiops_agent/adapter/workflows/aiops_adapter_approval.json; apps/aiops_agent/orchestrator/docs/app_requirements.md,実装済み（根拠+自動化）,設計テンプレと既存ワークフロー/自動化コンポーネントで実現可能
UC-0202,UC-GL-292,インシデント管理のエスカレーション/連携,インシデント管理,GitLab; Zulip; n8n; Grafana; cloudwatch_event_notify; aiops_agent,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/12_incident_management.md.tpl; apps/itsm_core/cloudwatch_event_notify/workflows/cloudwatch_event_notify.json; apps/aiops_agent/adapter/workflows/aiops_adapter_approval.json; apps/aiops_agent/orchestrator/docs/app_requirements.md,実装済み（根拠+自動化）,設計テンプレと既存ワークフロー/自動化コンポーネントで実現可能
UC-0203,UC-GL-293,インシデント管理のデータ品質の維持,インシデント管理,GitLab; Zulip; n8n; Grafana; cloudwatch_event_notify; aiops_agent,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/12_incident_management.md.tpl; apps/itsm_core/cloudwatch_event_notify/workflows/cloudwatch_event_notify.json; apps/aiops_agent/adapter/workflows/aiops_adapter_approval.json; apps/aiops_agent/orchestrator/docs/app_requirements.md,実装済み（根拠+自動化）,設計テンプレと既存ワークフロー/自動化コンポーネントで実現可能
UC-0204,UC-GL-294,インシデント管理のナレッジの更新,インシデント管理,GitLab; Zulip; n8n; Grafana; cloudwatch_event_notify; aiops_agent,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/12_incident_management.md.tpl; apps/itsm_core/cloudwatch_event_notify/workflows/cloudwatch_event_notify.json; apps/aiops_agent/adapter/workflows/aiops_adapter_approval.json; apps/aiops_agent/orchestrator/docs/app_requirements.md,実装済み（根拠+自動化）,設計テンプレと既存ワークフロー/自動化コンポーネントで実現可能
UC-0205,UC-GL-295,インシデント管理のレポート/振り返り,インシデント管理,GitLab; Zulip; n8n; Grafana; cloudwatch_event_notify; aiops_agent,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/12_incident_management.md.tpl; apps/itsm_core/cloudwatch_event_notify/workflows/cloudwatch_event_notify.json; apps/aiops_agent/adapter/workflows/aiops_adapter_approval.json; apps/aiops_agent/orchestrator/docs/app_requirements.md,実装済み（根拠+自動化）,設計テンプレと既存ワークフロー/自動化コンポーネントで実現可能
UC-0206,UC-GL-296,インシデント管理のレポートの標準化,インシデント管理,GitLab; Zulip; n8n; Grafana; cloudwatch_event_notify; aiops_agent,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/12_incident_management.md.tpl; apps/itsm_core/cloudwatch_event_notify/workflows/cloudwatch_event_notify.json; apps/aiops_agent/adapter/workflows/aiops_adapter_approval.json; apps/aiops_agent/orchestrator/docs/app_requirements.md,実装済み（根拠+自動化）,設計テンプレと既存ワークフロー/自動化コンポーネントで実現可能
UC-0207,UC-GL-297,インシデント管理の依存関係の整理,インシデント管理,GitLab; Zulip; n8n; Grafana; cloudwatch_event_notify; aiops_agent,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/12_incident_management.md.tpl; apps/itsm_core/cloudwatch_event_notify/workflows/cloudwatch_event_notify.json; apps/aiops_agent/adapter/workflows/aiops_adapter_approval.json; apps/aiops_agent/orchestrator/docs/app_requirements.md,実装済み（根拠+自動化）,設計テンプレと既存ワークフロー/自動化コンポーネントで実現可能
UC-0208,UC-GL-298,インシデント管理の分類/優先度付け,インシデント管理,GitLab; Zulip; n8n; Grafana; cloudwatch_event_notify; aiops_agent,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/12_incident_management.md.tpl; apps/itsm_core/cloudwatch_event_notify/workflows/cloudwatch_event_notify.json; apps/aiops_agent/adapter/workflows/aiops_adapter_approval.json; apps/aiops_agent/orchestrator/docs/app_requirements.md,実装済み（根拠+自動化）,設計テンプレと既存ワークフロー/自動化コンポーネントで実現可能
UC-0209,UC-GL-299,インシデント管理の受付/登録,インシデント管理,GitLab; Zulip; n8n; Grafana; cloudwatch_event_notify; aiops_agent,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/12_incident_management.md.tpl; apps/itsm_core/cloudwatch_event_notify/workflows/cloudwatch_event_notify.json; apps/aiops_agent/adapter/workflows/aiops_adapter_approval.json; apps/aiops_agent/orchestrator/docs/app_requirements.md,実装済み（根拠+自動化）,設計テンプレと既存ワークフロー/自動化コンポーネントで実現可能
UC-0210,UC-GL-300,インシデント管理の品質保証/監査,インシデント管理,GitLab; Zulip; n8n; Grafana; cloudwatch_event_notify; aiops_agent,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/12_incident_management.md.tpl; apps/itsm_core/cloudwatch_event_notify/workflows/cloudwatch_event_notify.json; apps/aiops_agent/adapter/workflows/aiops_adapter_approval.json; apps/aiops_agent/orchestrator/docs/app_requirements.md,実装済み（根拠+自動化）,設計テンプレと既存ワークフロー/自動化コンポーネントで実現可能
UC-0211,UC-GL-301,インシデント管理の実行/処理,インシデント管理,GitLab; Zulip; n8n; Grafana; cloudwatch_event_notify; aiops_agent,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/12_incident_management.md.tpl; apps/itsm_core/cloudwatch_event_notify/workflows/cloudwatch_event_notify.json; apps/aiops_agent/adapter/workflows/aiops_adapter_approval.json; apps/aiops_agent/orchestrator/docs/app_requirements.md,実装済み（根拠+自動化）,設計テンプレと既存ワークフロー/自動化コンポーネントで実現可能
UC-0212,UC-GL-302,インシデント管理の承認/レビュー,インシデント管理,GitLab; Zulip; n8n; Grafana; cloudwatch_event_notify; aiops_agent,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/12_incident_management.md.tpl; apps/itsm_core/cloudwatch_event_notify/workflows/cloudwatch_event_notify.json; apps/aiops_agent/adapter/workflows/aiops_adapter_approval.json; apps/aiops_agent/orchestrator/docs/app_requirements.md,実装済み（根拠+自動化）,設計テンプレと既存ワークフロー/自動化コンポーネントで実現可能
UC-0213,UC-GL-303,インシデント管理の改善施策の実施,インシデント管理,GitLab; Zulip; n8n; Grafana; cloudwatch_event_notify; aiops_agent,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/12_incident_management.md.tpl; apps/itsm_core/cloudwatch_event_notify/workflows/cloudwatch_event_notify.json; apps/aiops_agent/adapter/workflows/aiops_adapter_approval.json; apps/aiops_agent/orchestrator/docs/app_requirements.md,実装済み（根拠+自動化）,設計テンプレと既存ワークフロー/自動化コンポーネントで実現可能
UC-0214,UC-GL-304,インシデント管理の方針/標準定義,インシデント管理,GitLab; Zulip; n8n; Grafana; cloudwatch_event_notify; aiops_agent,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/12_incident_management.md.tpl; apps/itsm_core/cloudwatch_event_notify/workflows/cloudwatch_event_notify.json; apps/aiops_agent/adapter/workflows/aiops_adapter_approval.json; apps/aiops_agent/orchestrator/docs/app_requirements.md,実装済み（根拠+自動化）,設計テンプレと既存ワークフロー/自動化コンポーネントで実現可能
UC-0215,UC-GL-305,インシデント管理の標準テンプレートの整備,インシデント管理,GitLab; Zulip; n8n; Grafana; cloudwatch_event_notify; aiops_agent,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/12_incident_management.md.tpl; apps/itsm_core/cloudwatch_event_notify/workflows/cloudwatch_event_notify.json; apps/aiops_agent/adapter/workflows/aiops_adapter_approval.json; apps/aiops_agent/orchestrator/docs/app_requirements.md,実装済み（根拠+自動化）,設計テンプレと既存ワークフロー/自動化コンポーネントで実現可能
