ユースケースID,ユースケース機能ID,ユースケース,カテゴリ,設計追加先MD,設計ファミリ,既存機能への追加候補,新規app/script必要,提案コンポーネント種別,提案コンポーネント名,新規実装スコープ
UC-0001,UC-GL-270,IT資産管理のSLA/目標管理,IT資産管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/13_quality_assurance_sla.md.tpl,service,platform-doc-only,no,,,
UC-0002,UC-GL-271,IT資産管理のエスカレーション/連携,IT資産管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/usecase_guide.md.tpl,service,platform-doc-only,no,,,
UC-0003,UC-GL-272,IT資産管理のデータ品質の維持,IT資産管理,scripts/itsm/gitlab/templates/technical-management/docs/usecases/31_system_of_record.md.tpl,service,platform-doc-only,no,,,
UC-0004,UC-GL-273,IT資産管理のナレッジの更新,IT資産管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/14_knowledge_management.md.tpl,service,platform-doc-only,no,,,
UC-0005,UC-GL-274,IT資産管理のレポート/振り返り,IT資産管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/usecase_guide.md.tpl,service,platform-doc-only,no,,,
UC-0006,UC-GL-275,IT資産管理のレポートの標準化,IT資産管理,scripts/itsm/gitlab/templates/technical-management/docs/usecases/26_standardization.md.tpl,service,platform-doc-only,no,,,
UC-0007,UC-GL-276,IT資産管理の依存関係の整理,IT資産管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/usecase_guide.md.tpl,service,platform-doc-only,no,,,
UC-0008,UC-GL-277,IT資産管理の分類/優先度付け,IT資産管理,scripts/itsm/gitlab/templates/general-management/docs/usecases/02_demand_prioritization.md.tpl,service,platform-doc-only,no,,,
UC-0009,UC-GL-278,IT資産管理の受付/登録,IT資産管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/11_customer_request_to_improvement.md.tpl,service,platform-doc-only,no,,,
UC-0010,UC-GL-279,IT資産管理の品質保証/監査,IT資産管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/13_quality_assurance_sla.md.tpl,service,platform-doc-only,no,,,
UC-0011,UC-GL-280,IT資産管理の実行/処理,IT資産管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/usecase_guide.md.tpl,service,platform-doc-only,no,,,
UC-0012,UC-GL-281,IT資産管理の承認/レビュー,IT資産管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/usecase_guide.md.tpl,service,platform-doc-only,no,,,
UC-0013,UC-GL-282,IT資産管理の改善施策の実施,IT資産管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/usecase_guide.md.tpl,service,platform-doc-only,no,,,
UC-0014,UC-GL-283,IT資産管理の方針/標準定義,IT資産管理,scripts/itsm/gitlab/templates/technical-management/docs/usecases/26_standardization.md.tpl,service,platform-doc-only,no,,,
UC-0015,UC-GL-284,IT資産管理の標準テンプレートの整備,IT資産管理,scripts/itsm/gitlab/templates/technical-management/docs/usecases/26_standardization.md.tpl,service,platform-doc-only,no,,,
UC-0016,UC-GL-285,IT資産管理の継続的改善,IT資産管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/18_capacity_planning.md.tpl,service,platform-doc-only,no,,,
UC-0017,UC-GL-286,IT資産管理の自動化/効率化,IT資産管理,scripts/itsm/gitlab/templates/technical-management/docs/usecases/22_automation.md.tpl,service,platform-doc-only,no,,,
UC-0018,UC-GL-287,IT資産管理の調査/分析,IT資産管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/usecase_guide.md.tpl,service,platform-doc-only,no,,,
UC-0019,UC-GL-288,IT資産管理の通知/コミュニケーション,IT資産管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/usecase_guide.md.tpl,service,platform-doc-only,no,,,
