ユースケースID,ユースケース機能ID,ユースケース,カテゴリ,アプリ(実データ列),判定理由
UC-0001,UC-GL-270,IT資産管理のSLA/目標管理,IT資産管理,GitLab; n8n,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0002,UC-GL-271,IT資産管理のエスカレーション/連携,IT資産管理,GitLab; n8n,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0003,UC-GL-272,IT資産管理のデータ品質の維持,IT資産管理,GitLab; n8n,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0004,UC-GL-273,IT資産管理のナレッジの更新,IT資産管理,GitLab; n8n,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0005,UC-GL-274,IT資産管理のレポート/振り返り,IT資産管理,GitLab; n8n,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0006,UC-GL-275,IT資産管理のレポートの標準化,IT資産管理,GitLab; n8n,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0007,UC-GL-276,IT資産管理の依存関係の整理,IT資産管理,GitLab; n8n,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0008,UC-GL-277,IT資産管理の分類/優先度付け,IT資産管理,GitLab; n8n,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0009,UC-GL-278,IT資産管理の受付/登録,IT資産管理,GitLab; n8n,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0010,UC-GL-279,IT資産管理の品質保証/監査,IT資産管理,GitLab; n8n,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0011,UC-GL-280,IT資産管理の実行/処理,IT資産管理,GitLab; n8n,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0012,UC-GL-281,IT資産管理の承認/レビュー,IT資産管理,GitLab; n8n,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0013,UC-GL-282,IT資産管理の改善施策の実施,IT資産管理,GitLab; n8n,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0014,UC-GL-283,IT資産管理の方針/標準定義,IT資産管理,GitLab; n8n,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0015,UC-GL-284,IT資産管理の標準テンプレートの整備,IT資産管理,GitLab; n8n,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0016,UC-GL-285,IT資産管理の継続的改善,IT資産管理,GitLab; n8n,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0017,UC-GL-286,IT資産管理の自動化/効率化,IT資産管理,GitLab; n8n,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0018,UC-GL-287,IT資産管理の調査/分析,IT資産管理,GitLab; n8n,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0019,UC-GL-288,IT資産管理の通知/コミュニケーション,IT資産管理,GitLab; n8n,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0020,UC-GL-289,IT資産管理の運用手順の整備,IT資産管理,GitLab; n8n,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0021,UC-GL-290,IT資産管理の関係者合意の形成,IT資産管理,GitLab; n8n,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0101,UC-GL-001,アーキテクチャ管理のKPI/指標定義,アーキテクチャ管理,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0102,UC-GL-002,アーキテクチャ管理のガバナンスと方針運用の整備,アーキテクチャ管理,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0103,UC-GL-003,アーキテクチャ管理のステークホルダー/関係者調整,アーキテクチャ管理,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0104,UC-GL-004,アーキテクチャ管理のツール/データ整備,アーキテクチャ管理,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0105,UC-GL-005,アーキテクチャ管理のリスク/例外レビュー,アーキテクチャ管理,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0106,UC-GL-006,アーキテクチャ管理のリスクと例外の管理,アーキテクチャ管理,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0107,UC-GL-007,アーキテクチャ管理のレビュー/監査の実施,アーキテクチャ管理,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0108,UC-GL-008,アーキテクチャ管理のロードマップ策定,アーキテクチャ管理,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0109,UC-GL-009,アーキテクチャ管理の主要関係者の合意形成,アーキテクチャ管理,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0110,UC-GL-010,アーキテクチャ管理の変更影響の分析,アーキテクチャ管理,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0111,UC-GL-011,アーキテクチャ管理の定期レビュー/報告,アーキテクチャ管理,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0112,UC-GL-012,アーキテクチャ管理の実行計画の策定,アーキテクチャ管理,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0113,UC-GL-013,アーキテクチャ管理の役割/責任（RACI）定義,アーキテクチャ管理,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0114,UC-GL-014,アーキテクチャ管理の意思決定基準の明文化,アーキテクチャ管理,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0115,UC-GL-015,アーキテクチャ管理の成果物の記録/版管理,アーキテクチャ管理,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0116,UC-GL-016,アーキテクチャ管理の指標の定義と可視化,アーキテクチャ管理,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0117,UC-GL-017,アーキテクチャ管理の改善施策の優先順位付け,アーキテクチャ管理,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0118,UC-GL-018,アーキテクチャ管理の教育/オンボーディング,アーキテクチャ管理,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0119,UC-GL-019,アーキテクチャ管理の教育/展開/浸透,アーキテクチャ管理,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0120,UC-GL-020,アーキテクチャ管理の方針/ポリシー策定,アーキテクチャ管理,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0121,UC-GL-021,アーキテクチャ管理の標準/ガイドライン整備,アーキテクチャ管理,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0122,UC-GL-022,アーキテクチャ管理の現状評価/ギャップ分析,アーキテクチャ管理,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0123,UC-GL-023,アーキテクチャ管理の目標/ターゲット設定,アーキテクチャ管理,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0124,UC-GL-024,アーキテクチャ管理の運用手順と標準の整備,アーキテクチャ管理,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0222,UC-GL-877,重大インシデント周知,インシデント管理,GitLab; n8n; Zulip,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0223,UC-ZU-29,トピック解決管理,インシデント管理,Zulip,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0301,UC-GL-526,課題管理,インシデント管理; 問題管理,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0401,UC-EXA-25,ドリフト検出,インフラストラクチャおよびプラットフォーム管理,Exastro ITA API; n8n; GitLab; Zulip,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0402,UC-EXA-07,インフラ/プラットフォーム管理の構成ドリフトの監視,インフラストラクチャおよびプラットフォーム管理,Exastro ITA Web / Exastro ITA API; GitLab; Grafana; Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
